,Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fats,Polysaturated Fats,Saturated Fats,Lipids,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
0,Cheese,Blue,1004,0.0,0.074,0.0,234.0,75,15.4,0.0,0.0,0.0,1.016,2140.0,0.192,0.382,0.0145,50.0,0.028999999999999998,4241.0,777.8,80.0,1866.9,2874.0,528,0.04,0.31,23,387,256,1146,2.66,0.198,0.00122,0.166,0.0,0.25,0.0024
1,Cheese,Brie,1006,0.0,0.009,0.0,45.0,100,15.4,0.0,0.0,0.0,0.38,2075.0,0.173,0.52,0.0145,45.0,0.07,4842.0,801.3,82.6,1741.0,2768.0,184,0.019,0.5,20,188,152,629,2.38,0.174,0.00165,0.235,0.0,0.24,0.0023
2,Cheese,Camembert,1007,0.0,0.012,0.0,46.0,72,15.4,0.0,0.0,0.0,0.63,1980.0,0.24,0.488,0.0145,46.0,0.027999999999999997,5180.0,702.3,72.4,1525.9,2426.0,388,0.021,0.33,20,347,187,842,2.38,0.241,0.0013,0.22699999999999998,0.0,0.21,0.002
3,Cheese,Cheddar ,1009,0.0,0.0,0.0,244.0,100,16.5,0.0,0.0,0.0,0.052000000000000005,2330.0,0.316,0.441,0.028300000000000002,33.0,0.028999999999999998,3660.0,744.0,118.0,1920.0,3400.0,707,0.033,0.16,26,458,77,654,3.67,0.316,0.00106,0.069,0.0,0.75,0.0024
4,Cheese,Colby,1011,0.0,0.082,0.0,257.0,95,15.4,0.0,0.0,0.0,0.09300000000000001,2376.0,0.257,0.375,0.0145,52.0,0.015,3820.0,927.9999999999999,95.3,2021.8,3211.0,685,0.042,0.76,26,457,127,604,3.07,0.264,0.00083,0.079,0.0,0.28,0.0027
5,Cheese,Cottage,1012,0.0,0.012,0.0,338.0,17,18.4,0.0,0.0,0.0,0.099,1112.0,0.036,0.163,0.009699999999999999,267.0,0.027000000000000003,7979.0,77.8,12.3,171.8,430.0,83,0.028999999999999998,0.07,8,159,104,315,0.4,0.037,0.00043,0.046,0.0,0.08,0.0
6,Cheese,Cream Cheese,1017,0.001,0.059,0.002,552.0,101,26.8,0.0,0.007,0.0,0.091,615.0,0.303,0.23,0.0086,376.0,0.023,5262.0,890.7,148.3,2021.3000000000002,3444.0,97,0.018000000000000002,0.11,9,107,132,314,0.5,0.308,0.00022,0.055999999999999994,0.0,0.86,0.0021000000000000003
7,Cheese,Feta,1019,0.0,0.003,0.0,388.0,89,15.4,0.0,0.0,0.0,0.991,1421.0,0.125,0.8440000000000001,0.015,0.0,0.154,5522.0,462.3,59.099999999999994,1330.0,2149.0,493,0.032,0.65,19,337,62,1139,2.88,0.125,0.0016899999999999999,0.424,0.0,0.18,0.0018
8,Cheese,Gouda,1022,0.0,0.01,0.0,222.0,114,15.4,0.0,0.0,0.0,0.063,2494.0,0.164,0.33399999999999996,0.0145,222.00000000000003,0.03,4146.0,774.7,65.7,1761.4,2744.0,700,0.036000000000000004,0.24,29,546,121,819,3.9,0.165,0.0015400000000000001,0.08,0.0,0.24,0.0023
9,Cheese,Gruyere,1023,0.0,0.033,0.0,36.0,110,15.4,0.0,0.0,0.0,0.106,2981.0,0.268,0.27899999999999997,0.0145,36.0,0.06,3319.0,1004.3,173.3,1891.3,3234.0000000000005,1011,0.032,0.17,36,605,81,714,3.9,0.271,0.0016,0.081,0.0,0.28,0.0027
10,Cheese,Limburger,1024,0.0,0.015,0.0,49.0,90,15.4,0.0,0.0,0.0,0.158,2005.0,0.339,0.503,0.0145,49.0,0.08,4842.0,860.6,49.5,1674.6,2725.0,497,0.021,0.13,21,393,128,800,2.1,0.34,0.0010400000000000001,0.086,0.0,0.23,0.0023
11,Cheese,Monterey,1025,0.0,0.078,0.0,68.0,89,15.4,0.0,0.0,0.0,0.09300000000000001,2448.0,0.192,0.39,0.0145,50.0,0.015,4101.0,875.0999999999999,89.9,1906.6,3028.0,746,0.032,0.72,27,444,81,600,3.0,0.198,0.00083,0.079,0.0,0.26,0.0025
12,Cheese,Mozzarella,1029,0.0,0.0,0.0,444.0,65,13.5,0.0,0.0,0.0,0.10099999999999999,2370.0,0.203,0.36,0.026699999999999998,181.0,0.023,4770.0,465.00000000000006,74.4,1170.0,2039.9999999999998,693,0.035,0.2,27,533,116,699,3.62,0.203,0.00165,0.09,0.0,0.51,0.0013
13,Cheese,Muenster,1030,0.0,0.013,0.0,112.0,96,15.4,0.0,0.0,0.0,0.10300000000000001,2341.0,0.297,0.32,0.0145,112.00000000000001,0.013000000000000001,4177.0,871.1,66.1,1911.3,3004.0,717,0.031,0.41,27,468,134,628,2.81,0.298,0.00147,0.055999999999999994,0.0,0.26,0.0025
14,Cheese,Parmesan,1032,0.0,0.0,0.0,1240.0,87,14.1,0.0,0.0,0.0,0.078,2960.0,0.228,0.345,0.035,7.000000000000001,0.027000000000000003,2280.0,640.0,120.0,1550.0,2800.0,884,0.04,0.45,34,634,184,1750,4.33,0.228,0.00135,0.081,0.0,0.51,0.0017
15,Cheese,Provolone,1035,0.0,0.068,0.0,214.0,69,15.4,0.0,0.0,0.0,0.156,2558.0,0.23,0.321,0.0145,56.00000000000001,0.019,4095.0,739.3,76.9,1707.8,2662.0,756,0.026000000000000002,0.52,28,496,138,727,3.23,0.236,0.00146,0.073,0.0,0.23,0.0022
16,Cheese,Ricotta,1036,0.0,0.0,0.0,686.0,48,17.5,0.0,0.0,0.0,0.168,781.0,0.127,0.327,0.0055,27.0,0.043,7290.0,256.0,38.9,697.0,1100.0,224,0.0,0.1,19,162,230,105,0.56,0.127,0.00078,0.099,0.0,0.27,0.0006
17,Cheese,Swiss,1040,0.001,0.06,0.002,144.0,93,13.8,0.0,0.008,0.001,0.06,2700.0,0.287,0.303,0.030100000000000002,0.0,0.011000000000000001,3760.0,726.0,113.99999999999999,1820.0,3100.0,890,0.047,0.13,33,574,71,185,4.37,0.292,0.00302,0.07,0.0,0.6,0.0014
18,Salad dressing,Mayonnaise Dressing,4013,0.0,0.03,0.0,1580.0,0,9.0,200.0,0.027,0.0,0.01,20.0,0.0,0.0,0.0026,680.0,0.008,8180.0,0.0,0.0,0.0,0.0,6,0.019,0.1,2,27,50,750,0.07,0.002,0.0,0.002,0.0,2.19,0.0
19,Salad dressing,Russian dressing,4015,0.002,0.32,0.049,3190.0,0,4.6,70.0,0.173,3.576,0.594,69.0,0.0,0.046,0.0016,1768.0,0.028999999999999998,3853.0,592.8,1483.0,239.0,2618.0,13,0.057999999999999996,0.6,10,20,173,1133,0.22,0.029,0.0,0.09699999999999999,6.0,3.32,0.053700000000000005
20,Salad dressing,Sesame seed dressing,4016,0.0,0.021,0.002,860.0,0,4.0,100.0,0.0,0.016,0.0,310.0,0.0,0.0,0.0016,832.0,0.0,3920.0,1190.0,2510.0,620.0,4520.0,19,0.0,0.6,0,37,157,1000,0.1,0.002,0.0,0.0,0.0,5.0,0.056
21,Salad dressing,Thousand Island,4017,0.002,0.092,0.052,1464.0,26,4.6,80.0,0.029,2.597,0.418,109.00000000000001,0.004,0.057999999999999996,0.0015,1518.0,1.445,4651.0,788.1,1822.0,509.2,3506.0,17,0.0,1.18,8,27,107,962,0.26,0.014,0.0,0.0,0.0,4.0,0.0691
22,Salad dressing,French dressing,4020,0.0,0.289,0.07,3122.0,0,4.0,150.0,0.124,2.53,0.467,57.99999999999999,0.0,0.052000000000000005,0.0016,1686.0,0.024,5428.0,451.79999999999995,385.2,84.2,1152.0,11,0.16,0.73,8,16,107,838,0.2,0.027,0.0,0.055,4.8,1.0,0.0178
23,Salad dressing,Italian dressing,4021,0.0,0.007,0.0,999.0,0,3.3,0.0,0.0,0.0,0.094,39.0,0.0,0.008,0.0016,916.0,0.012,8011.0,172.5,323.6,83.3,668.0,15,0.019,0.25,4,12,90,891,0.06,0.001,0.0,0.055,0.0,4.28,0.0125
24,Salad dressing,Blue cheese dressing,4539,0.001,0.004,0.001,477.0,31,17.9,40.0,0.026,0.0,0.1,137.0,0.014,0.1,0.001,348.0,0.01,3971.0,1327.9,2754.5,827.5,5110.0,37,0.009000000000000001,0.09,8,74,88,642,0.21,0.014,0.00027,0.037000000000000005,0.7,4.28,0.0859
25,Salad dressing,Caesar,43015,0.001,0.002,0.001,330.0,39,15.6,50.0,0.022,0.0,0.04,217.0,0.009,0.01,0.0016,281.0,0.01,3430.0,1350.4,3285.7,878.9,5785.0,48,0.01,1.08,2,19,29,1209,0.11,0.009,2.9999999999999997e-05,0.025,0.3,4.74,0.10479999999999999
26,Salad dressing,Coleslaw,43016,0.002,0.004,0.001,2240.0,41,14.6,0.0,0.048,0.0,0.061,85.0,0.016,0.055,0.0048,2123.0,0.034,3985.0,740.7,1936.2000000000003,534.3,3453.0,9,0.018000000000000002,0.33,3,42,35,850,0.16,0.017,8.999999999999999e-05,0.006999999999999999,0.6,3.08,0.06609999999999999
27,Salad dressing,Green Goddess,43017,0.001,0.003,0.001,736.0,40,3.6,10.0,0.039,0.0,0.14,190.0,0.01,0.05,0.0016,667.0,0.02,4503.0,942.3,2316.5,597.8,4333.0,34,0.01,0.35,7,31,58,867,0.25,0.01,0.00026000000000000003,0.01,0.2,4.6,0.09670000000000001
28,Cereals,Apple Jacks,8003,0.01,0.015,0.0,8820.0,0,7.5,930.0,0.276,0.0,17.9,509.99999999999994,0.526,1.52,0.0056,4370.0,1.34,250.0,60.0,90.0,190.0,340.0,12,0.098,16.1,29,70,112,466,5.4,0.527,0.0054,1.79,54.0,0.12,0.0004
29,Cereals,Cap'N Crunch,8010,0.044,0.067,0.0,8551.0,0,8.6,250.0,0.645,0.0,21.465,438.99999999999994,0.0,1.8219999999999998,0.0065,4432.0,1.614,250.0,63.9,74.7,334.6,512.0,11,0.111,19.42,55,167,186,754,16.16,0.007,0.0,2.138,0.0,0.62,0.0006
30,Cereals,Cheerios,8013,0.0,0.0,0.0,7320.0,0,26.2,1010.0,0.159,0.0,17.9,1240.0,0.99,0.1,0.0249,450.0,1.3,376.0,229.99999999999997,240.0,160.0,660.0,357,0.387,28.9,114,357,633,497,13.4,0.99,0.00677,1.79,21.4,0.41,0.002
31,Cereals,Cocoa Krispies,8014,0.0,0.0,0.0,8790.0,0,8.7,140.0,0.0,0.0,16.1,459.99999999999994,1.21,1.37,0.0161,3860.0,1.21,281.0,30.0,10.0,210.0,270.0,127,0.332,14.5,38,102,197,424,5.0,1.21,0.0048,1.61,48.0,10.8,0.0001
32,Cereals,Cocoa Pebbles,8015,0.0,0.0,0.0,8570.0,0,3.8,160.0,0.001,0.0,17.2,480.0,0.776,1.5,0.014,3579.9999999999995,1.3,250.0,20.0,10.0,360.0,409.99999999999994,22,0.3,6.2,31,95,193,594,5.2,0.776,0.0052,1.7,0.0,0.13,0.0013
33,Cereals,Cookie Crisp,8017,0.037,0.057,0.0,8450.0,0,12.8,510.0,0.803,0.0,19.2,520.0,0.539,1.6,0.0073,3479.9999999999995,1.4,230.0,140.0,170.0,80.0,440.00000000000006,385,0.213,17.3,31,154,231,457,14.4,0.546,0.0058,1.923,23.1,0.57,0.0015
34,Cereals,Corn Flakes,8020,0.054,0.083,0.0,8410.0,0,8.7,330.0,0.339,0.0,17.9,750.0,0.481,1.52,0.0083,950.0,1.34,376.0,6.7,19.6,11.6,40.0,5,0.198,28.9,39,102,168,729,1.0,0.49,0.005,1.79,21.0,0.12,0.0
35,Cereals,Cracklin' Oat Bran,8023,0.0,0.001,0.001,7030.0,0,29.2,1270.0,0.096,0.0,10.2,919.9999999999999,0.244,0.87,0.0273,2800.0,0.77,300.0,490.00000000000006,280.0,620.0,1410.0,59,0.4,3.7,153,278,403,280,3.1,0.244,0.0031,1.02,31.0,0.0,0.003
36,Cereals,Froot Loops,8030,0.019,0.029,0.0,8800.0,0,10.5,930.0,0.442,0.0,17.2,530.0,0.498,1.47,0.005900000000000001,3450.0,1.29,250.0,60.0,90.0,180.0,340.0,10,0.08900000000000001,15.5,31,74,117,469,5.2,0.501,0.0052,1.72,52.0,0.15,0.0003
37,Cereals,Fruity Pebbles,8034,0.0,0.0,0.0,8610.0,0,3.7,80.0,0.0,0.0,18.52,462.0,0.833,1.57,0.010199999999999999,3428.0,1.39,300.0,16.0,12.0,360.0,401.99999999999994,19,0.14,6.67,16,71,72,531,5.56,0.833,0.00556,1.85,22.2,0.13,0.0013
38,Cereals,Golden Grahams,8035,0.013,0.021,0.0,8510.0,0,15.2,560.0,0.41,0.0,16.1,530.0,0.47,1.4,0.0056,3500.0,1.2,220.0,160.0,100.0,40.0,320.0,323,0.20600000000000002,14.5,26,129,206,772,12.1,0.472,0.0048,1.6130000000000002,19.4,0.64,0.002
39,Cereals,Honey Nut Cheerios,8045,0.0,0.001,0.0,7969.0,0,20.6,710.0,0.05,0.0,21.4,885.0,0.834,1.867,0.016,3289.0,1.9169999999999998,286.0,110.4,102.4,52.900000000000006,500.0,425,0.23399999999999999,20.58,90,328,412,566,17.17,0.834,0.0075,2.267,21.4,0.48,0.0023
40,Cereals,Lucky Charms,8050,0.0,0.0,0.0,8089.0,0,16.1,500.0,0.092,0.0,25.3,767.0,0.847,1.723,0.0146,3613.0000000000005,1.7369999999999999,415.0,158.6,154.2,88.5,501.99999999999994,434,0.213,22.27,74,289,222,648,18.62,0.847,0.0068,3.01,26.6,0.45,0.0014
41,Cereals,Raisin Bran,8060,0.0,0.002,0.0,7729.0,0,24.3,1140.0,0.097,0.0,13.8,772.0,0.386,1.08,0.0046,3130.0,0.753,1040.0,33.9,94.9,48.0,272.0,43,0.456,12.33,122,347,653,356,3.39,0.386,0.002,1.8430000000000002,0.0,0.66,0.0021000000000000003
42,Cereals,Rice Krispies,8065,0.0,0.0,0.0,8505.0,0,6.0,40.0,0.0,0.0,17.967,675.0,1.136,1.29,0.019600000000000003,986.9999999999999,1.77,506.0,59.3,62.6,45.8,204.99999999999997,5,0.18600000000000003,30.42,27,125,125,527,1.39,1.136,0.00723,2.35,63.3,26.64,0.0
43,Cereals,Special K,8067,0.0,0.0,0.0,7340.0,0,11.0,140.0,0.0,0.0,22.6,1779.0,0.5,1.91,0.0549,1269.0,1.69,300.0,30.0,40.0,40.0,179.0,23,0.179,28.0,12,48,53,667,0.69,0.5,0.019399999999999997,6.44,68.0,15.3,0.0001
44,Cereals,Corn Pops,8068,0.039,0.06,0.0,8970.0,0,7.1,840.0,1.066,0.0,16.7,480.0,0.46,1.42,0.0065,3130.0,1.25,300.0,20.0,50.0,50.0,130.0,7,0.083,6.0,28,52,113,357,5.0,0.467,0.005,1.67,20.0,0.12,0.0
45,Cereals,Frosted Flakes,8069,0.005,0.021,0.04,8920.0,0,1.9,220.0,0.676,0.0,27.666999999999998,396.0,0.446,1.73,0.0033,3543.0,1.903,418.0,26.5,66.9,45.1,168.0,3,0.039,26.7,8,47,76,468,0.15,0.45,0.0081,3.573,24.2,0.07,0.0002
46,Cereals,Trix,8078,0.041,0.062,0.0,8619.0,0,10.7,390.0,0.951,0.0,18.79,490.00000000000006,0.662,1.89,0.0065,3200.0,1.6,189.0,179.0,139.0,50.0,379.0,313,0.11699999999999999,16.89,25,188,162,500,14.1,0.669,0.004690000000000001,2.18,18.8,0.5,0.0013
47,Cereals,Wheaties,8089,0.0,0.004,0.0,8330.0,0,32.9,1010.0,0.178,0.0,37.0,830.0000000000001,0.553,3.1,0.0047,1520.0,2.8,260.0,40.0,120.0,50.0,229.99999999999997,74,0.267,33.3,89,296,328,732,27.8,0.554,0.0111,3.7039999999999997,22.2,0.64,0.0017
48,Fruits,Bananas,9040,0.025,0.026,0.0,2284.0,0,9.8,260.0,0.022,0.0,0.665,109.00000000000001,0.0,0.073,0.001,1223.0,0.031,7491.0,3.2,7.3,11.2,33.0,5,0.078,0.26,27,22,358,1,0.15,0.003,0.0,0.36700000000000005,8.7,0.1,0.0005
49,Fruits,Blackberries,9042,0.0,0.128,0.0,961.0,0,8.5,530.0,0.118,0.0,0.6459999999999999,139.0,0.0,0.026000000000000002,0.0004,488.0,0.02,8815.0,4.7,28.000000000000004,1.4,49.0,29,0.165,0.62,20,22,162,1,0.53,0.011,0.0,0.03,21.0,1.17,0.0198
50,Fruits,Apples,9003,0.0,0.027,0.011,1381.0,0,3.4,240.0,0.029,0.0,0.091,26.0,0.0,0.026000000000000002,0.0,1039.0,0.017,8556.0,0.7,5.1,2.8,17.0,6,0.027000000000000003,0.12,5,11,107,1,0.04,0.003,0.0,0.040999999999999995,4.6,0.18,0.0022
51,Fruits,Apricots,9021,0.019,1.094,0.104,1112.0,0,2.8,200.0,0.089,0.0,0.6,140.0,0.0,0.04,0.0001,924.0,0.03,8635.0,17.0,7.7,2.7,39.0,13,0.078,0.39,10,23,259,1,0.2,0.096,0.0,0.054000000000000006,10.0,0.89,0.0033
52,Fruits,Cherries,9070,0.0,0.038,0.0,1601.0,0,6.1,210.0,0.085,0.0,0.154,106.0,0.0,0.033,0.0,1282.0,0.027000000000000003,8225.0,4.7,5.2,3.8,20.0,13,0.06,0.36,11,21,222,0,0.07,0.003,0.0,0.049,7.0,0.07,0.0021000000000000003
53,Fruits,Cranberries,9078,0.0,0.038,0.0,1197.0,0,5.5,360.0,0.091,0.0,0.10099999999999999,46.0,0.0,0.02,0.0001,426.99999999999994,0.012,8732.0,1.8000000000000003,5.5,0.8,13.0,8,0.055999999999999994,0.23,6,11,80,2,0.09,0.003,0.0,0.057,14.0,1.32,0.005
54,Fruits,Figs,9089,0.0,0.085,0.0,1918.0,0,4.7,290.0,0.009,0.0,0.4,75.0,0.0,0.05,0.0002,1626.0000000000002,0.06,7911.0,6.6000000000000005,14.400000000000002,6.0,30.0,35,0.07,0.37,17,14,232,1,0.15,0.007,0.0,0.113,2.0,0.11,0.0047
55,Fruits,Grapefruit,9112,0.003,0.686,0.006,1066.0,0,7.7,160.0,0.005,1.419,0.204,77.0,0.0,0.031,0.0001,689.0,0.043,8806.0,2.0,3.6000000000000005,2.1,14.000000000000002,22,0.032,0.08,9,18,135,0,0.07,0.058,0.0,0.053,31.2,0.13,0.0
56,Fruits,Grapes,9132,0.001,0.039,0.0,1810.0,0,5.6,90.0,0.072,0.0,0.188,72.0,0.0,0.07,0.0001,1548.0,0.069,8054.0,0.7,4.8,5.4,16.0,10,0.127,0.36,7,20,191,2,0.07,0.003,0.0,0.086,3.2,0.19,0.0146
57,Fruits,Guavas,9139,0.0,0.374,0.0,1432.0,0,7.6,540.0,0.0,5.204,1.084,254.99999999999997,0.0,0.04,0.0006,892.0,0.067,8080.0,8.7,40.1,27.200000000000003,95.0,18,0.23,0.26,22,40,417,2,0.23,0.031,0.0,0.11,228.3,0.73,0.0026
58,Fruits,Kiwifruit,9148,0.0,0.052,0.0,1400.0,0,7.8,300.0,0.122,0.0,0.37,106.0,0.0,0.025,0.0002,899.0,0.027000000000000003,8390.0,4.7,28.7,2.9,44.0,35,0.134,0.24,15,34,198,5,0.14,0.004,0.0,0.061,74.7,1.3,0.040299999999999996
59,Fruits,Kumquats,9149,0.155,0.0,0.193,1590.0,0,8.4,650.0,0.129,0.0,0.429,188.0,0.0,0.09,0.0,936.0,0.037000000000000005,8085.0,15.4,17.1,10.3,86.0,62,0.095,0.86,20,19,186,10,0.17,0.015,0.0,0.036000000000000004,43.9,0.15,0.0
60,Fruits,Lemons,9150,0.001,0.003,0.02,932.0,0,5.1,280.0,0.011,0.0,0.1,110.00000000000001,0.0,0.02,0.0004,250.0,0.04,8898.0,1.1,8.9,3.9,30.0,26,0.037000000000000005,0.6,8,16,138,2,0.06,0.001,0.0,0.08,53.0,0.15,0.0
61,Fruits,Mangos,9176,0.009,0.64,0.01,1498.0,0,7.6,160.0,0.023,0.003,0.669,82.0,0.0,0.038,0.0006,1366.0,0.027999999999999997,8346.0,14.000000000000002,7.1,9.2,38.0,11,0.111,0.16,10,14,168,1,0.09,0.054,0.0,0.11900000000000001,36.4,0.9,0.004200000000000001
62,Fruits,Cantaloupe,9181,0.0,2.78,0.0,816.0,0,7.6,80.0,0.032,0.0,0.6940000000000001,82.0,0.0,0.027000000000000003,0.0017,788.0,0.049,9020.0,0.3,8.1,5.1,18.0,9,0.085,0.38,13,17,157,30,0.44,0.232,0.0,0.04,10.9,0.05,0.0027
63,Fruits,Honeydew,9184,0.0,0.03,0.0,909.0,0,7.6,80.0,0.027,0.0,0.418,54.0,0.0,0.012,0.0007,811.9999999999999,0.038,8982.0,0.3,5.9,3.8,14.000000000000002,6,0.024,0.17,10,11,228,18,0.09,0.003,0.0,0.08800000000000001,18.0,0.02,0.0029
64,Fruits,Nectarines,9191,0.0,0.199,0.117,918.0,0,6.2,150.0,0.13,0.0,1.12,106.0,0.0,0.027000000000000003,0.0,789.0,0.034,8900.0,0.0,0.0,0.0,28.000000000000004,2,0.08199999999999999,0.3,8,26,131,13,0.21,0.021,0.0,0.025,2.9,0.61,0.002
65,Pie,Apple,18301,0.0,0.009,0.006,3400.0,0,7.2,160.0,0.009,0.0,0.263,190.0,0.031,0.027000000000000003,0.001,1565.0,0.027999999999999997,5220.0,438.8,219.79999999999998,379.7,1100.0,11,0.046,0.45,7,24,65,201,0.16,0.032,1e-05,0.038,3.2,1.52,0.0035
66,Pie,Banana Cream,18304,0.005,0.021,0.001,3290.0,51,28.7,70.0,0.046,0.0,1.054,440.00000000000006,0.059,0.207,0.0091,1206.0,0.139,4790.0,571.9,329.2,375.8,1360.0,75,0.052000000000000005,1.04,16,92,165,240,0.48,0.061,0.00025,0.133,1.6,0.4,0.0063
67,Pie,Blueberry,18305,0.0,0.039,0.0,3490.0,0,7.2,100.0,0.015,0.0,0.3,180.0,0.041,0.03,0.0014,989.0,0.01,5250.0,424.4,352.4,167.9,1000.0,8,0.046,0.3,5,23,50,287,0.16,0.044,1e-05,0.037000000000000005,2.7,1.04,0.0105
68,Pie,Cherry,18308,0.0,0.069,0.0,3980.0,0,7.2,80.0,0.02,0.0,0.2,200.0,0.046,0.028999999999999998,0.0012,1429.0,0.023,4620.0,583.7,205.50000000000003,256.2,1100.0,12,0.04,0.48,8,29,81,246,0.18,0.052,1e-05,0.040999999999999995,0.9,0.76,0.0076
69,Pie,Chocolate Creme,18310,0.0,0.01,0.0,3844.0,12,17.9,80.0,0.008,0.0,0.605,415.00000000000006,0.045,0.14,0.006,2739.0,0.087,3392.0,733.6,114.9,1244.9,2241.0,66,0.11800000000000001,1.49,19,79,161,266,0.44,0.046,0.00011999999999999999,0.02,0.0,1.09,0.0095
70,Pie,Coconut Creme,18313,0.0,0.0,0.0,3730.0,0,22.1,130.0,0.0,0.0,0.2,210.0,0.027,0.08,0.0053,1852.0,0.05,4320.0,726.0,154.4,697.6,1660.0000000000002,29,0.068,0.8,20,85,65,204,0.47,0.027,0.00011999999999999999,0.068,0.0,0.15,0.0053
71,Pie,Egg custard,18317,0.0,0.009,0.001,2080.0,33,38.0,160.0,0.05,0.0,0.292,550.0,0.057,0.20800000000000002,0.0070999999999999995,1158.0,0.039,6090.0,479.7,372.3,234.90000000000003,1160.0,80,0.024,0.58,11,112,106,275,0.52,0.057,0.00043,0.048,0.6,0.94,0.0032
72,Pie,Lemon Meringue,18320,0.0,0.001,0.003,4720.0,45,6.2,120.0,0.009,0.0,0.649,150.0,0.051,0.209,0.003,2386.0,0.062,4170.0,268.5,364.8,176.6,869.9999999999999,56,0.001,0.61,15,105,89,172,0.49,0.051,0.00017,0.03,3.2,1.06,0.0021000000000000003
73,Pie,Peach,18323,0.0,0.064,0.025,3290.0,0,7.2,80.0,0.015,0.0,0.2,190.0,0.004,0.033,0.0013,1623.0,0.061,5440.0,424.1000000000001,374.9,150.8,1000.0,8,0.053,0.5,6,22,125,217,0.09,0.01,0.0,0.023,0.9,0.94,0.0033
74,Pie,Pecan,18324,0.0,0.004,0.002,5961.0,42,49.5,210.0,0.039,0.0,1.31,450.0,0.05,0.078,0.007,2518.0,0.204,1825.0,831.7,355.4,265.4,1669.0000000000002,22,0.184,0.93,22,83,99,275,0.87,0.051,0.00011999999999999999,0.038,0.0,0.8,0.0155
75,Pie,Pumpkin,18326,0.686,1.023,0.003,3483.0,26,37.5,180.0,0.02,0.0,1.107,390.0,0.334,0.124,0.0054,1888.0,0.177,5039.0,459.99999999999994,177.0,198.8,975.0,64,0.14800000000000002,0.9,14,81,167,239,0.39,0.448,0.00035,0.063,0.0,0.76,0.0132
76,Pie,Vanilla Cream,18328,0.002,0.022,0.001,3260.0,62,32.8,60.0,0.052,0.0,0.9840000000000001,480.0,0.081,0.21600000000000003,0.0095,1268.0,0.139,4700.0,604.3,343.8,403.0,1440.0,90,0.039,1.02,13,104,126,260,0.53,0.083,0.0003,0.049,0.5,0.45,0.0067
